local_filename,cloudinary_url
2233027_03,https://res.cloudinary.com/dq02ykbq2/image/upload/v1759737303/Tests/2233027_03_vwwfha.jpg
2233027_01,https://res.cloudinary.com/dq02ykbq2/image/upload/v1759737303/Tests/2233027_01_fggyy8.jpg
2233027_02,https://res.cloudinary.com/dq02ykbq2/image/upload/v1759737303/Tests/2233027_02_kb4jmw.jpg
