ean,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10
5060881929031,,https://cdn.bazarchic.com/i/tmp/19119244.jpg,https://cdn.bazarchic.com/i/tmp/19119238.jpg,https://cdn.bazarchic.com/i/tmp/19118383.jpg,https://cdn.bazarchic.com/i/tmp/19119241.jpg,https://cdn.bazarchic.com/i/tmp/19119250.jpg,,,,
5060881929048,,https://cdn.bazarchic.com/i/tmp/19119304.jpg,https://cdn.bazarchic.com/i/tmp/19118404.jpg,https://cdn.bazarchic.com/i/tmp/19118401.jpg,https://cdn.bazarchic.com/i/tmp/19119298.jpg,https://cdn.bazarchic.com/i/tmp/19119301.jpg,https://cdn.bazarchic.com/i/tmp/19119307.jpg,,,
5060881929055,,https://cdn.bazarchic.com/i/tmp/19119352.jpg,https://cdn.bazarchic.com/i/tmp/19119346.jpg,https://cdn.bazarchic.com/i/tmp/19118413.jpg,https://cdn.bazarchic.com/i/tmp/19118416.jpg,https://cdn.bazarchic.com/i/tmp/19119349.jpg,https://cdn.bazarchic.com/i/tmp/19119355.jpg,,,
5060881929093,,https://cdn.bazarchic.com/i/tmp/19118428.jpg,https://cdn.bazarchic.com/i/tmp/19119385.jpg,https://cdn.bazarchic.com/i/tmp/19118431.jpg,https://cdn.bazarchic.com/i/tmp/19119400.jpg,https://cdn.bazarchic.com/i/tmp/19119391.jpg,https://cdn.bazarchic.com/i/tmp/19119394.jpg,,,
5060881929109,,https://cdn.bazarchic.com/i/tmp/19118470.jpg,https://cdn.bazarchic.com/i/tmp/19118455.jpg,https://cdn.bazarchic.com/i/tmp/19118452.jpg,https://cdn.bazarchic.com/i/tmp/19119451.jpg,https://cdn.bazarchic.com/i/tmp/19118458.jpg,https://cdn.bazarchic.com/i/tmp/19118461.jpg,https://cdn.bazarchic.com/i/tmp/19119442.jpg,https://cdn.bazarchic.com/i/tmp/19119445.jpg,https://cdn.bazarchic.com/i/tmp/19119448.jpg
5061006594028,,https://cdn.bazarchic.com/i/tmp/19118482.jpg,https://cdn.bazarchic.com/i/tmp/19118476.jpg,https://cdn.bazarchic.com/i/tmp/19118473.jpg,https://cdn.bazarchic.com/i/tmp/19118479.jpg,,,,,
5061083811360,https://cdn.bazarchic.com/i/tmp/19118485.jpg,https://cdn.bazarchic.com/i/tmp/19118488.jpg,https://cdn.bazarchic.com/i/tmp/19118491.jpg,,,,,,,
7061281010228,,https://cdn.bazarchic.com/i/tmp/10716374.jpg,,,,,,,,
7061284194321,,https://cdn.bazarchic.com/i/tmp/10716377.jpg,,,,,,,,
7061284742928,,https://cdn.bazarchic.com/i/tmp/10716386.jpg,,,,,,,,
7061285777158,,https://cdn.bazarchic.com/i/tmp/10716389.jpg,,,,,,,,
7061281599518,,https://cdn.bazarchic.com/i/tmp/10716392.jpg,,,,,,,,
7061285260100,,https://cdn.bazarchic.com/i/tmp/12238247.jpg,https://cdn.bazarchic.com/i/tmp/12238250.jpg,,,,,,,
7061282826569,,https://cdn.bazarchic.com/i/tmp/12238241.jpg,https://cdn.bazarchic.com/i/tmp/12238244.jpg,,,,,,,
5060881926573,,https://cdn.bazarchic.com/i/tmp/15413156.jpg,https://cdn.bazarchic.com/i/tmp/15413159.jpg,https://cdn.bazarchic.com/i/tmp/15413162.jpg,https://cdn.bazarchic.com/i/tmp/15413165.jpg,,,,,
5060881926559,,https://cdn.bazarchic.com/i/tmp/15413174.jpg,https://cdn.bazarchic.com/i/tmp/15413171.jpg,https://cdn.bazarchic.com/i/tmp/15413177.jpg,https://cdn.bazarchic.com/i/tmp/15413168.jpg,,,,,
5061006593076,https://cdn.bazarchic.com/i/tmp/18331474.jpg,https://cdn.bazarchic.com/i/tmp/18331477.jpg,https://cdn.bazarchic.com/i/tmp/18331480.jpg,https://cdn.bazarchic.com/i/tmp/18331483.jpg,,,,,,
5061083811582,https://cdn.bazarchic.com/i/tmp/19199851.jpg,https://cdn.bazarchic.com/i/tmp/19199854.jpg,https://cdn.bazarchic.com/i/tmp/19199857.jpg,https://cdn.bazarchic.com/i/tmp/19199860.jpg,,,,,,
0637665739640,,https://cdn.bazarchic.com/i/tmp/11977277.jpg,,,,,,,,
0637665739664,,https://cdn.bazarchic.com/i/tmp/11977280.jpg,,,,,,,,
0637665739619,,https://cdn.bazarchic.com/i/tmp/19118356.jpg,https://cdn.bazarchic.com/i/tmp/19118344.jpg,https://cdn.bazarchic.com/i/tmp/19118350.jpg,https://cdn.bazarchic.com/i/tmp/19118347.jpg,https://cdn.bazarchic.com/i/tmp/19118359.jpg,https://cdn.bazarchic.com/i/tmp/19118353.jpg,,,
0637665736311,,https://cdn.bazarchic.com/i/tmp/18286615.jpg,https://cdn.bazarchic.com/i/tmp/18286612.jpg,https://cdn.bazarchic.com/i/tmp/18286624.jpg,https://cdn.bazarchic.com/i/tmp/18286609.jpg,https://cdn.bazarchic.com/i/tmp/18286621.jpg,https://cdn.bazarchic.com/i/tmp/18286618.jpg,,,
0637665739350,,https://cdn.bazarchic.com/i/tmp/13500341.jpg,,,,,,,,
0636040826531,,https://cdn.bazarchic.com/i/tmp/4324386.jpg,,,,,,,,
0637665739589,https://cdn.bazarchic.com/i/tmp/19118341.jpg,,,,,,,,,
0638827778033,,https://cdn.bazarchic.com/i/tmp/4324390.jpg,,,,,,,,
0627665736359,,https://cdn.bazarchic.com/i/tmp/5722199.jpg,,,,,,,,
0637665739602,,https://cdn.bazarchic.com/i/tmp/11977295.jpg,,,,,,,,
6418719695240,,https://cdn.bazarchic.com/i/tmp/7319084.jpg,,,,,,,,
0637665736915,,https://cdn.bazarchic.com/i/tmp/5301306.jpg,,,,,,,,
0637665739596,,https://cdn.bazarchic.com/i/tmp/11977283.jpg,,,,,,,,
5061006598996,https://cdn.bazarchic.com/i/tmp/19374826.jpg,,,,,,,,,
0637665740479,,https://cdn.bazarchic.com/i/tmp/9956180.jpg,https://cdn.bazarchic.com/i/tmp/9956183.jpg,,,,,,,
0637665740486,,https://cdn.bazarchic.com/i/tmp/9956186.jpg,https://cdn.bazarchic.com/i/tmp/9956189.jpg,,,,,,,
5061083811704,https://cdn.bazarchic.com/i/tmp/19374835.jpg,https://cdn.bazarchic.com/i/tmp/19374838.jpg,,,,,,,,
5061083811698,https://cdn.bazarchic.com/i/tmp/19374823.jpg,,,,,,,,,
5061083811681,https://cdn.bazarchic.com/i/tmp/19374832.jpg,,,,,,,,,
5061083810950,https://cdn.bazarchic.com/i/tmp/19374928.jpg,https://cdn.bazarchic.com/i/tmp/19374931.jpg,,,,,,,,
5061083810967,https://cdn.bazarchic.com/i/tmp/19374934.jpg,,,,,,,,,
5061083810974,https://cdn.bazarchic.com/i/tmp/19374805.jpg,https://cdn.bazarchic.com/i/tmp/19374808.jpg,,,,,,,,
5061083811001,https://cdn.bazarchic.com/i/tmp/19374841.jpg,,,,,,,,,
5061083811049,https://cdn.bazarchic.com/i/tmp/19374916.jpg,,,,,,,,,
5061083811063,https://cdn.bazarchic.com/i/tmp/19374925.jpg,,,,,,,,,
5061083811100,https://cdn.bazarchic.com/i/tmp/19374937.jpg,,,,,,,,,
5061083811117,https://cdn.bazarchic.com/i/tmp/19374919.jpg,https://cdn.bazarchic.com/i/tmp/19374922.jpg,,,,,,,,
5061083811124,https://cdn.bazarchic.com/i/tmp/19374904.jpg,https://cdn.bazarchic.com/i/tmp/19374907.jpg,https://cdn.bazarchic.com/i/tmp/19374910.jpg,https://cdn.bazarchic.com/i/tmp/19374913.jpg,,,,,,
5061083811162,https://cdn.bazarchic.com/i/tmp/19374901.jpg,,,,,,,,,
5061083811179,https://cdn.bazarchic.com/i/tmp/19374940.jpg,,,,,,,,,
5060881927235,https://cdn.bazarchic.com/i/tmp/19374829.jpg,,,,,,,,,
